entry_name	accession	gene_symbol	msa_file
CXA3_HUMAN	Q9Y6H8	GJA3	CXA3_HUMAN_b01.a2m
CXA5_HUMAN	P36382	GJA5	CXA5_HUMAN_b03.a2m
CXA8_HUMAN	P48165	GJA8	CXA8_HUMAN_b10.a2m
CXB1_HUMAN	P08034	GJB1	CXB1_HUMAN_b01.a2m
CXB2_HUMAN	P29033	GJB2	CXB2_HUMAN_b01.a2m
CXB3_HUMAN	O75712	GJB3	CXB3_HUMAN_b03.a2m
CXB4_HUMAN	Q9NTQ9	GJB4	CXB4_HUMAN_b01.a2m
CXB6_HUMAN	O95452	GJB6	CXB6_HUMAN_b03.a2m
CXG2_HUMAN	Q5T442	GJC2	CXG2_HUMAN_b05.a2m
CY1_HUMAN	P08574	CYC1	CY1_HUMAN_b01.a2m
CY24A_HUMAN	P13498	CYBA	CY24A_HUMAN_b03.a2m
CY24B_HUMAN	P04839	CYBB	CY24B_HUMAN_b03.a2m
CY561_HUMAN	P49447	CYB561	CY561_HUMAN_b03.a2m
CYB5_HUMAN	P00167	CYB5A	CYB5_HUMAN_b01.a2m
CYC_HUMAN	P99999	CYCS	CYC_HUMAN_b03.a2m
CYLD_HUMAN	Q9NQC7	CYLD	CYLD_HUMAN_b03.a2m
CYTB_HUMAN	P04080	CSTB	CYTB_HUMAN_b01.a2m
CYTC_HUMAN	P01034	CST3	CYTC_HUMAN_b01.a2m
CYTSA_HUMAN	Q69YQ0	SPECC1L	CYTSA_HUMAN_b05.a2m
D19L2_HUMAN	Q6NUT2	DPY19L2	D19L2_HUMAN_b03.a2m
D2HDH_HUMAN	Q8N465	D2HGDH	D2HDH_HUMAN_b03.a2m
DAAF3_HUMAN	Q8N9W5	DNAAF3	DAAF3_HUMAN_b01.a2m
DAAF4_HUMAN	Q8WXU2	DNAAF4	DAAF4_HUMAN_b03.a2m
DAAF5_HUMAN	Q86Y56	DNAAF5	DAAF5_HUMAN_b03.a2m
DAAF6_HUMAN	Q9NQM4	DNAAF6	DAAF6_HUMAN_b01.a2m
DAF_HUMAN	P08174	CD55	DAF_HUMAN_b01.a2m
DAG1_HUMAN	Q14118	DAG1	DAG1_HUMAN_b03.a2m
DAXX_HUMAN	Q9UER7	DAXX	DAXX_HUMAN_b01.a2m
DBLOH_HUMAN	Q9NR28	DIABLO	DBLOH_HUMAN_b01.a2m
DC2L1_HUMAN	Q8TCX1	DYNC2LI1	DC2L1_HUMAN_b03.a2m
DCA17_HUMAN	Q5H9S7	DCAF17	DCA17_HUMAN_b01.a2m
DCAF6_HUMAN	Q58WW2	DCAF6	DCAF6_HUMAN_b01.a2m
DCDC2_HUMAN	Q9UHG0	DCDC2	DCDC2_HUMAN_b01.a2m
DCE1_HUMAN	Q99259	GAD1	DCE1_HUMAN_b03.a2m
DCMC_HUMAN	O95822	MLYCD	DCMC_HUMAN_b01.a2m
DCPS_HUMAN	Q96C86	DCPS	DCPS_HUMAN_b03.a2m
DCR1C_HUMAN	Q96SD1	DCLRE1C	DCR1C_HUMAN_b05.a2m
DCTN1_HUMAN	Q14203	DCTN1	DCTN1_HUMAN_b01.a2m
DCUP_HUMAN	P06132	UROD	DCUP_HUMAN_b01.a2m
DCX_HUMAN	O43602	DCX	DCX_HUMAN_b01.a2m
DDC_HUMAN	P20711	DDC	DDC_HUMAN_b03.a2m
DDHD1_HUMAN	Q8NEL9	DDHD1	DDHD1_HUMAN_b01.a2m
DDHD2_HUMAN	O94830	DDHD2	DDHD2_HUMAN_b03.a2m
DDX58_HUMAN	NA	NA	DDX58_HUMAN_b01.a2m
DDX59_HUMAN	Q5T1V6	DDX59	DDX59_HUMAN_b07.a2m
DEAF1_HUMAN	O75398	DEAF1	DEAF1_HUMAN_b03.a2m
DEGS1_HUMAN	O15121	DEGS1	DEGS1_HUMAN_b03.a2m
DEN5A_HUMAN	Q6IQ26	DENND5A	DEN5A_HUMAN_b05.a2m
DEPD5_HUMAN	O75140	DEPDC5	DEPD5_HUMAN_b10.a2m
DERM_HUMAN	Q07507	DPT	DERM_HUMAN_b01.a2m
DESM_HUMAN	P17661	DES	DESM_HUMAN_b03.a2m
DESP_HUMAN	P15924	DSP	DESP_HUMAN_b03.a2m
DFFB_HUMAN	O76075	DFFB	DFFB_HUMAN_b05.a2m
DGAT1_HUMAN	O75907	DGAT1	DGAT1_HUMAN_b01.a2m
DGKE_HUMAN	P52429	DGKE	DGKE_HUMAN_b01.a2m
DGUOK_HUMAN	Q16854	DGUOK	DGUOK_HUMAN_b03.a2m
DHB3_HUMAN	P37058	HSD17B3	DHB3_HUMAN_b07.a2m
DHB4_HUMAN	P51659	HSD17B4	DHB4_HUMAN_b03.a2m
DHC24_HUMAN	Q15392	DHCR24	DHC24_HUMAN_b03.a2m
DHCR7_HUMAN	Q9UBM7	DHCR7	DHCR7_HUMAN_b03.a2m
DHDDS_HUMAN	Q86SQ9	DHDDS	DHDDS_HUMAN_b03.a2m
DHE3_HUMAN	P00367	GLUD1	DHE3_HUMAN_b01.a2m
DHE4_HUMAN	P49448	GLUD2	DHE4_HUMAN_b01.a2m
DHH_HUMAN	O43323	DHH	DHH_HUMAN_b01.a2m
DHSD_HUMAN	O14521	SDHD	DHSD_HUMAN_b03.a2m
DHTK1_HUMAN	Q96HY7	DHTKD1	DHTK1_HUMAN_b01.a2m
DHX37_HUMAN	Q8IY37	DHX37	DHX37_HUMAN_b05.a2m
DHYS_HUMAN	P49366	DHPS	DHYS_HUMAN_b03.a2m
DI3L2_HUMAN	Q8IYB7	DIS3L2	DI3L2_HUMAN_b01.a2m
DICER_HUMAN	Q9UPY3	DICER1	DICER_HUMAN_b03.a2m
DJB11_HUMAN	Q9UBS4	DNAJB11	DJB11_HUMAN_b03.a2m
DJB13_HUMAN	P59910	DNAJB13	DJB13_HUMAN_b03.a2m
DJC12_HUMAN	Q9UKB3	DNAJC12	DJC12_HUMAN_b03.a2m
DKC1_HUMAN	O60832	DKC1	DKC1_HUMAN_b03.a2m
DLDH_HUMAN	P09622	DLD	DLDH_HUMAN_b03.a2m
DLG3_HUMAN	Q92796	DLG3	DLG3_HUMAN_b03.a2m
DLL3_HUMAN	Q9NYJ7	DLL3	DLL3_HUMAN_b03.a2m
DLL4_HUMAN	Q9NR61	DLL4	DLL4_HUMAN_b07.a2m
DLP1_HUMAN	Q86YH6	PDSS2	DLP1_HUMAN_b03.a2m
DLX3_HUMAN	O60479	DLX3	DLX3_HUMAN_b03.a2m
DLX5_HUMAN	P56178	DLX5	DLX5_HUMAN_b03.a2m
DMD_HUMAN	P11532	DMD	DMD_HUMAN_b05.a2m
DMP1_HUMAN	Q13316	DMP1	DMP1_HUMAN_b01.a2m
DMRT1_HUMAN	Q9Y5R6	DMRT1	DMRT1_HUMAN_b01.a2m
DMTF1_HUMAN	Q9Y222	DMTF1	DMTF1_HUMAN_b01.a2m
DNA2_HUMAN	P51530	DNA2	DNA2_HUMAN_b05.a2m
DNAI1_HUMAN	Q9UI46	DNAI1	DNAI1_HUMAN_b07.a2m
DNAI2_HUMAN	Q9GZS0	DNAI2	DNAI2_HUMAN_b05.a2m
DNJB2_HUMAN	P25686	DNAJB2	DNJB2_HUMAN_b05.a2m
DNJB5_HUMAN	O75953	DNAJB5	DNJB5_HUMAN_b01.a2m
DNJB6_HUMAN	O75190	DNAJB6	DNJB6_HUMAN_b03.a2m
DNJC5_HUMAN	Q9H3Z4	DNAJC5	DNJC5_HUMAN_b03.a2m
DNLI4_HUMAN	P49917	LIG4	DNLI4_HUMAN_b01.a2m
DNM1L_HUMAN	O00429	DNM1L	DNM1L_HUMAN_b03.a2m
DNM3A_HUMAN	Q9Y6K1	DNMT3A	DNM3A_HUMAN_b07.a2m
DNM3B_HUMAN	Q9UBC3	DNMT3B	DNM3B_HUMAN_b01.a2m
DNMT1_HUMAN	P26358	DNMT1	DNMT1_HUMAN_b03.a2m
DOCK8_HUMAN	Q8NF50	DOCK8	DOCK8_HUMAN_b07.a2m
DOK7_HUMAN	Q18PE1	DOK7	DOK7_HUMAN_b03.a2m
DOLK_HUMAN	Q9UPQ8	DOLK	DOLK_HUMAN_b01.a2m
DONS_HUMAN	Q9NYP3	DONSON	DONS_HUMAN_b03.a2m
DOPO_HUMAN	P09172	DBH	DOPO_HUMAN_b01.a2m
DOXA2_HUMAN	Q1HG44	DUOXA2	DOXA2_HUMAN_b01.a2m
DP13A_HUMAN	Q9UKG1	APPL1	DP13A_HUMAN_b03.a2m
DPH1_HUMAN	Q9BZG8	DPH1	DPH1_HUMAN_b01.a2m
DPM2_HUMAN	O94777	DPM2	DPM2_HUMAN_b03.a2m
DPM3_HUMAN	Q9P2X0	DPM3	DPM3_HUMAN_b03.a2m
DPOD1_HUMAN	P28340	POLD1	DPOD1_HUMAN_b07.a2m
DPOE1_HUMAN	Q07864	POLE	DPOE1_HUMAN_b03.a2m
DPOG1_HUMAN	P54098	POLG	DPOG1_HUMAN_b01.a2m
DPOG2_HUMAN	Q9UHN1	POLG2	DPOG2_HUMAN_b03.a2m
DPOLA_HUMAN	P09884	POLA1	DPOLA_HUMAN_b05.a2m
DPOLQ_HUMAN	O75417	POLQ	DPOLQ_HUMAN_b01.a2m
DPP6_HUMAN	P42658	DPP6	DPP6_HUMAN_b03.a2m
DPS1_HUMAN	Q5T2R2	PDSS1	DPS1_HUMAN_b01.a2m
DPYD_HUMAN	Q12882	DPYD	DPYD_HUMAN_b01.a2m
DPYL2_HUMAN	Q16555	DPYSL2	DPYL2_HUMAN_b03.a2m
DPYS_HUMAN	Q14117	DPYS	DPYS_HUMAN_b03.a2m
DR9C7_HUMAN	Q8NEX9	SDR9C7	DR9C7_HUMAN_b07.a2m
DRAM2_HUMAN	Q6UX65	DRAM2	DRAM2_HUMAN_b03.a2m
DRC4_HUMAN	O95995	GAS8	DRC4_HUMAN_b01.a2m
DSC2_HUMAN	Q02487	DSC2	DSC2_HUMAN_b10.a2m
DSCL1_HUMAN	Q8TD84	DSCAML1	DSCL1_HUMAN_b01.a2m
DSE_HUMAN	Q9UL01	DSE	DSE_HUMAN_b03.a2m
DSG1_HUMAN	Q02413	DSG1	DSG1_HUMAN_b10.a2m
DSG2_HUMAN	Q14126	DSG2	DSG2_HUMAN_b07.a2m
DSRAD_HUMAN	P55265	ADAR	DSRAD_HUMAN_b05.a2m
DTBP1_HUMAN	Q96EV8	DTNBP1	DTBP1_HUMAN_b01.a2m
DTD1_HUMAN	Q8TEA8	DTD1	DTD1_HUMAN_b03.a2m
DTNA_HUMAN	Q9Y4J8	DTNA	DTNA_HUMAN_b01.a2m
DUOX2_HUMAN	Q9NRD8	DUOX2	DUOX2_HUMAN_b05.a2m
DUS6_HUMAN	Q16828	DUSP6	DUS6_HUMAN_b03.a2m
DVL1_HUMAN	O14640	DVL1	DVL1_HUMAN_b01.a2m
DVLP1_HUMAN	P54792	DVL1P1	DVLP1_HUMAN_b01.a2m
DYH11_HUMAN	Q96DT5	DNAH11	DYH11_HUMAN_b05.a2m
DYH17_HUMAN	Q9UFH2	DNAH17	DYH17_HUMAN_b01.a2m
DYH1_HUMAN	Q9P2D7	DNAH1	DYH1_HUMAN_b05.a2m
DYH5_HUMAN	Q8TE73	DNAH5	DYH5_HUMAN_b10.a2m
DYHC1_HUMAN	Q14204	DYNC1H1	DYHC1_HUMAN_b01.a2m
DYHC2_HUMAN	Q8NCM8	DYNC2H1	DYHC2_HUMAN_b07.a2m
DYL1_HUMAN	P63167	DYNLL1	DYL1_HUMAN_b03.a2m
DYM_HUMAN	Q7RTS9	DYM	DYM_HUMAN_b03.a2m
DYN1_HUMAN	Q05193	DNM1	DYN1_HUMAN_b03.a2m
DYN2_HUMAN	P50570	DNM2	DYN2_HUMAN_b03.a2m
DYR1A_HUMAN	Q13627	DYRK1A	DYR1A_HUMAN_b03.a2m
DYR_HUMAN	P00374	DHFR	DYR_HUMAN_b03.a2m
DYSF_HUMAN	O75923	DYSF	DYSF_HUMAN_b03.a2m
E41L1_HUMAN	Q9H4G0	EPB41L1	E41L1_HUMAN_b03.a2m
E41LA_HUMAN	Q9HCS5	EPB41L4A	E41LA_HUMAN_b01.a2m
EAA1_HUMAN	P43003	SLC1A3	EAA1_HUMAN_b01.a2m
EAA2_HUMAN	P43004	SLC1A2	EAA2_HUMAN_b01.a2m
EAA3_HUMAN	P43005	SLC1A1	EAA3_HUMAN_b01.a2m
EBP_HUMAN	Q15125	EBP	EBP_HUMAN_b03.a2m
ECE1_HUMAN	P42892	ECE1	ECE1_HUMAN_b03.a2m
ECEL1_HUMAN	O95672	ECEL1	ECEL1_HUMAN_b01.a2m
ECHA_HUMAN	P40939	HADHA	ECHA_HUMAN_b03.a2m
ECHB_HUMAN	P55084	HADHB	ECHB_HUMAN_b05.a2m
ECHM_HUMAN	P30084	ECHS1	ECHM_HUMAN_b07.a2m
ECHP_HUMAN	Q08426	EHHADH	ECHP_HUMAN_b03.a2m
ECM1_HUMAN	Q16610	ECM1	ECM1_HUMAN_b03.a2m
EDAD_HUMAN	Q8WWZ3	EDARADD	EDAD_HUMAN_b03.a2m
EDAR_HUMAN	Q9UNE0	EDAR	EDAR_HUMAN_b03.a2m
EDA_HUMAN	Q92838	EDA	EDA_HUMAN_b03.a2m
EDC3_HUMAN	Q96F86	EDC3	EDC3_HUMAN_b03.a2m
EDN1_HUMAN	P05305	EDN1	EDN1_HUMAN_b03.a2m
EDN3_HUMAN	P14138	EDN3	EDN3_HUMAN_b01.a2m
EDNRA_HUMAN	P25101	EDNRA	EDNRA_HUMAN_b03.a2m
EDNRB_HUMAN	P24530	EDNRB	EDNRB_HUMAN_b03.a2m
EED_HUMAN	O75530	EED	EED_HUMAN_b03.a2m
EF1A2_HUMAN	Q05639	EEF1A2	EF1A2_HUMAN_b03.a2m
EF2_HUMAN	P13639	EEF2	EF2_HUMAN_b03.a2m
EFGM_HUMAN	Q96RP9	GFM1	EFGM_HUMAN_b05.a2m
EFHC1_HUMAN	Q5JVL4	EFHC1	EFHC1_HUMAN_b01.a2m
EFL1_HUMAN	Q7Z2Z2	EFL1	EFL1_HUMAN_b05.a2m
EFNB1_HUMAN	P98172	EFNB1	EFNB1_HUMAN_b03.a2m
EFTS_HUMAN	P43897	TSFM	EFTS_HUMAN_b01.a2m
EFTU_HUMAN	P49411	TUFM	EFTU_HUMAN_b03.a2m
EGFR_HUMAN	P00533	EGFR	EGFR_HUMAN_b03.a2m
EGLN_HUMAN	P17813	ENG	EGLN_HUMAN_b01.a2m
EGR2_HUMAN	P11161	EGR2	EGR2_HUMAN_b03.a2m
EHMT1_HUMAN	Q9H9B1	EHMT1	EHMT1_HUMAN_b01.a2m
EI2BA_HUMAN	Q14232	EIF2B1	EI2BA_HUMAN_b03.a2m
EI2BB_HUMAN	P49770	EIF2B2	EI2BB_HUMAN_b01.a2m
EI2BE_HUMAN	Q13144	EIF2B5	EI2BE_HUMAN_b03.a2m
EI2BG_HUMAN	Q9NR50	EIF2B3	EI2BG_HUMAN_b03.a2m
EIF3F_HUMAN	O00303	EIF3F	EIF3F_HUMAN_b03.a2m
ELF2_HUMAN	Q15723	ELF2	ELF2_HUMAN_b03.a2m
ELMD3_HUMAN	Q96FG2	ELMOD3	ELMD3_HUMAN_b03.a2m
ELNE_HUMAN	P08246	ELANE	ELNE_HUMAN_b03.a2m
ELN_HUMAN	P15502	ELN	ELN_HUMAN_b01.a2m
ELOC_HUMAN	Q15369	ELOC	ELOC_HUMAN_b03.a2m
ELOV1_HUMAN	Q9BW60	ELOVL1	ELOV1_HUMAN_b03.a2m
ELOV4_HUMAN	Q9GZR5	ELOVL4	ELOV4_HUMAN_b01.a2m
ELOV5_HUMAN	Q9NYP7	ELOVL5	ELOV5_HUMAN_b03.a2m
ELP1_HUMAN	O95163	ELP1	ELP1_HUMAN_b01.a2m
ELP2_HUMAN	Q6IA86	ELP2	ELP2_HUMAN_b03.a2m
EMARD_HUMAN	Q5T6L9	ERMARD	EMARD_HUMAN_b01.a2m
EMC1_HUMAN	Q8N766	EMC1	EMC1_HUMAN_b01.a2m
EMD_HUMAN	P50402	EMD	EMD_HUMAN_b01.a2m
EMP2_HUMAN	P54851	EMP2	EMP2_HUMAN_b01.a2m
EMX2_HUMAN	Q04743	EMX2	EMX2_HUMAN_b03.a2m
ENL_HUMAN	Q03111	MLLT1	ENL_HUMAN_b01.a2m
ENOB_HUMAN	P13929	ENO3	ENOB_HUMAN_b01.a2m
ENPLL_HUMAN	Q58FF3	HSP90B2P	ENPLL_HUMAN_b03.a2m
ENPP1_HUMAN	P22413	ENPP1	ENPP1_HUMAN_b01.a2m
ENTP1_HUMAN	P49961	ENTPD1	ENTP1_HUMAN_b01.a2m
EOGT_HUMAN	Q5NDL2	EOGT	EOGT_HUMAN_b03.a2m
EP2A2_HUMAN	B3EWF7	EPM2A	EP2A2_HUMAN_b05.a2m
EP300_HUMAN	Q09472	EP300	EP300_HUMAN_b10.a2m
EPB41_HUMAN	P11171	EPB41	EPB41_HUMAN_b03.a2m
EPB42_HUMAN	P16452	EPB42	EPB42_HUMAN_b03.a2m
EPCAM_HUMAN	P16422	EPCAM	EPCAM_HUMAN_b03.a2m
EPG5_HUMAN	Q9HCE0	EPG5	EPG5_HUMAN_b01.a2m
EPHA4_HUMAN	P54764	EPHA4	EPHA4_HUMAN_b07.a2m
EPHB4_HUMAN	P54760	EPHB4	EPHB4_HUMAN_b07.a2m
EPM2A_HUMAN	O95278	EPM2A	EPM2A_HUMAN_b05.a2m
EPO_HUMAN	P01588	EPO	EPO_HUMAN_b01.a2m
EPS8_HUMAN	Q12929	EPS8	EPS8_HUMAN_b01.a2m
EPT1_HUMAN	Q9C0D9	SELENOI	EPT1_HUMAN_b03.a2m
ERAL1_HUMAN	O75616	ERAL1	ERAL1_HUMAN_b03.a2m
ERBB3_HUMAN	P21860	ERBB3	ERBB3_HUMAN_b03.a2m
ERBB4_HUMAN	Q15303	ERBB4	ERBB4_HUMAN_b03.a2m
ERCC1_HUMAN	P07992	ERCC1	ERCC1_HUMAN_b01.a2m
ERCC2_HUMAN	P18074	ERCC2	ERCC2_HUMAN_b03.a2m
ERCC3_HUMAN	P19447	ERCC3	ERCC3_HUMAN_b03.a2m
ERCC6_HUMAN	Q03468	ERCC6	ERCC6_HUMAN_b07.a2m
ERCC8_HUMAN	Q13216	ERCC8	ERCC8_HUMAN_b03.a2m
ERF_HUMAN	P50548	ERF	ERF_HUMAN_b03.a2m
ERGI1_HUMAN	Q969X5	ERGIC1	ERGI1_HUMAN_b01.a2m
ERLN1_HUMAN	O75477	ERLIN1	ERLN1_HUMAN_b03.a2m
ERLN2_HUMAN	O94905	ERLIN2	ERLN2_HUMAN_b03.a2m
ERPG3_HUMAN	P0DP91	ERCC6	ERPG3_HUMAN_b10.a2m
ERR2_HUMAN	O95718	ESRRB	ERR2_HUMAN_b01.a2m
ES8L3_HUMAN	Q8TE67	EPS8L3	ES8L3_HUMAN_b01.a2m
ESR1_HUMAN	P03372	ESR1	ESR1_HUMAN_b03.a2m
ESR2_HUMAN	Q92731	ESR2	ESR2_HUMAN_b01.a2m
ESRP1_HUMAN	Q6NXG1	ESRP1	ESRP1_HUMAN_b03.a2m
ESRP2_HUMAN	Q9H6T0	ESRP2	ESRP2_HUMAN_b01.a2m
EST1_HUMAN	P23141	CES1	EST1_HUMAN_b01.a2m
ETFA_HUMAN	P13804	ETFA	ETFA_HUMAN_b01.a2m
ETFB_HUMAN	P38117	ETFB	ETFB_HUMAN_b03.a2m
ETFD_HUMAN	Q16134	ETFDH	ETFD_HUMAN_b03.a2m
ETHE1_HUMAN	O95571	ETHE1	ETHE1_HUMAN_b03.a2m
ETV6_HUMAN	P41212	ETV6	ETV6_HUMAN_b03.a2m
EVC_HUMAN	P57679	EVC	EVC_HUMAN_b01.a2m
EXOC4_HUMAN	Q96A65	EXOC4	EXOC4_HUMAN_b01.a2m
EXOS2_HUMAN	Q13868	EXOSC2	EXOS2_HUMAN_b01.a2m
EXOS3_HUMAN	Q9NQT5	EXOSC3	EXOS3_HUMAN_b03.a2m
EXOS8_HUMAN	Q96B26	EXOSC8	EXOS8_HUMAN_b03.a2m
EXOS9_HUMAN	Q06265	EXOSC9	EXOS9_HUMAN_b03.a2m
EXT1_HUMAN	Q16394	EXT1	EXT1_HUMAN_b01.a2m
EXT2_HUMAN	Q93063	EXT2	EXT2_HUMAN_b01.a2m
EXTL3_HUMAN	O43909	EXTL3	EXTL3_HUMAN_b03.a2m
EYA1_HUMAN	Q99502	EYA1	EYA1_HUMAN_b03.a2m
EYS_HUMAN	Q5T1H1	EYS	EYS_HUMAN_b10.a2m
EZH2_HUMAN	Q15910	EZH2	EZH2_HUMAN_b01.a2m
F110A_HUMAN	Q9BQ89	FAM110A	F110A_HUMAN_b01.a2m
F111A_HUMAN	Q96PZ2	FAM111A	F111A_HUMAN_b01.a2m
F111B_HUMAN	Q6SJ93	FAM111B	F111B_HUMAN_b01.a2m
F120S_HUMAN	Q5T036	FAM120AOS	F120S_HUMAN_b01.a2m
F13A_HUMAN	P00488	F13A1	F13A_HUMAN_b01.a2m
F13B_HUMAN	P05160	F13B	F13B_HUMAN_b01.a2m
F161A_HUMAN	Q3B820	FAM161A	F161A_HUMAN_b01.a2m
F16P1_HUMAN	P09467	FBP1	F16P1_HUMAN_b01.a2m
F222A_HUMAN	Q5U5X8	FAM222A	F222A_HUMAN_b03.a2m
FA10_HUMAN	P00742	F10	FA10_HUMAN_b01.a2m
FA11_HUMAN	P03951	F11	FA11_HUMAN_b05.a2m
FA12_HUMAN	P00748	F12	FA12_HUMAN_b03.a2m
FA20C_HUMAN	Q8IXL6	FAM20C	FA20C_HUMAN_b01.a2m
FA2H_HUMAN	Q7L5A8	FA2H	FA2H_HUMAN_b03.a2m
FA50A_HUMAN	Q14320	FAM50A	FA50A_HUMAN_b03.a2m
FA5_HUMAN	P12259	F5	FA5_HUMAN_b01.a2m
FA7_HUMAN	P08709	F7	FA7_HUMAN_b03.a2m
FA8_HUMAN	P00451	F8	FA8_HUMAN_b05.a2m
FA9_HUMAN	P00740	F9	FA9_HUMAN_b03.a2m
FAAA_HUMAN	P16930	FAH	FAAA_HUMAN_b03.a2m
FACD2_HUMAN	Q9BXW9	FANCD2	FACD2_HUMAN_b01.a2m
FACE1_HUMAN	O75844	ZMPSTE24	FACE1_HUMAN_b03.a2m
FACR1_HUMAN	Q8WVX9	FAR1	FACR1_HUMAN_b03.a2m
FAD1_HUMAN	Q8NFF5	FLAD1	FAD1_HUMAN_b03.a2m
FADD_HUMAN	Q13158	FADD	FADD_HUMAN_b01.a2m
FAKD1_HUMAN	Q53R41	FASTKD1	FAKD1_HUMAN_b01.a2m
FAKD2_HUMAN	Q9NYY8	FASTKD2	FAKD2_HUMAN_b01.a2m
FANCA_HUMAN	O15360	FANCA	FANCA_HUMAN_b01.a2m
FANCB_HUMAN	Q8NB91	FANCB	FANCB_HUMAN_b01.a2m
FANCC_HUMAN	Q00597	FANCC	FANCC_HUMAN_b01.a2m
FANCE_HUMAN	Q9HB96	FANCE	FANCE_HUMAN_b01.a2m
FANCF_HUMAN	Q9NPI8	FANCF	FANCF_HUMAN_b01.a2m
FANCG_HUMAN	O15287	FANCG	FANCG_HUMAN_b01.a2m
FANCI_HUMAN	Q9NVI1	FANCI	FANCI_HUMAN_b01.a2m
FANCJ_HUMAN	Q9BX63	BRIP1	FANCJ_HUMAN_b07.a2m
FANCL_HUMAN	Q9NW38	FANCL	FANCL_HUMAN_b01.a2m
FAT4_HUMAN	Q6V0I7	FAT4	FAT4_HUMAN_b03.a2m
FBLN3_HUMAN	Q12805	EFEMP1	FBLN3_HUMAN_b03.a2m
FBLN4_HUMAN	O95967	EFEMP2	FBLN4_HUMAN_b03.a2m
FBLN5_HUMAN	Q9UBX5	FBLN5	FBLN5_HUMAN_b03.a2m
FBN1_HUMAN	P35555	FBN1	FBN1_HUMAN_b01.a2m
FBN2_HUMAN	P35556	FBN2	FBN2_HUMAN_b01.a2m
FBX11_HUMAN	Q86XK2	FBXO11	FBX11_HUMAN_b03.a2m
FBX38_HUMAN	Q6PIJ6	FBXO38	FBX38_HUMAN_b03.a2m
FBX7_HUMAN	Q9Y3I1	FBXO7	FBX7_HUMAN_b10.a2m
FBXL3_HUMAN	Q9UKT7	FBXL3	FBXL3_HUMAN_b03.a2m
FBXL4_HUMAN	Q9UKA2	FBXL4	FBXL4_HUMAN_b03.a2m
FDX2_HUMAN	Q6P4F2	FDX2	FDX2_HUMAN_b03.a2m
FERM1_HUMAN	Q9BQL6	FERMT1	FERM1_HUMAN_b01.a2m
FETUA_HUMAN	P02765	AHSG	FETUA_HUMAN_b01.a2m
FGD1_HUMAN	P98174	FGD1	FGD1_HUMAN_b07.a2m
FGF10_HUMAN	O15520	FGF10	FGF10_HUMAN_b01.a2m
FGF12_HUMAN	P61328	FGF12	FGF12_HUMAN_b03.a2m
FGF14_HUMAN	Q92915	FGF14	FGF14_HUMAN_b03.a2m
FGF17_HUMAN	O60258	FGF17	FGF17_HUMAN_b03.a2m
FGF18_HUMAN	O76093	FGF18	FGF18_HUMAN_b03.a2m
FGF23_HUMAN	Q9GZV9	FGF23	FGF23_HUMAN_b01.a2m
FGF3_HUMAN	P11487	FGF3	FGF3_HUMAN_b03.a2m
FGF5_HUMAN	P12034	FGF5	FGF5_HUMAN_b03.a2m
FGF8_HUMAN	P55075	FGF8	FGF8_HUMAN_b03.a2m
FGF9_HUMAN	P31371	FGF9	FGF9_HUMAN_b01.a2m
FGFR1_HUMAN	P11362	FGFR1	FGFR1_HUMAN_b07.a2m
FGFR2_HUMAN	P21802	FGFR2	FGFR2_HUMAN_b07.a2m
FGFR3_HUMAN	P22607	FGFR3	FGFR3_HUMAN_b07.a2m
FHL1_HUMAN	Q13642	FHL1	FHL1_HUMAN_b03.a2m
FHL2_HUMAN	Q14192	FHL2	FHL2_HUMAN_b03.a2m
FHR5_HUMAN	Q9BXR6	CFHR5	FHR5_HUMAN_b01.a2m
FIBA_HUMAN	P02671	FGA	FIBA_HUMAN_b01.a2m
FIBB_HUMAN	P02675	FGB	FIBB_HUMAN_b07.a2m
FIBG_HUMAN	P02679	FGG	FIBG_HUMAN_b05.a2m
FIGLA_HUMAN	Q6QHK4	FIGLA	FIGLA_HUMAN_b01.a2m
FINC_HUMAN	P02751	FN1	FINC_HUMAN_b03.a2m
FITM2_HUMAN	Q8N6M3	FITM2	FITM2_HUMAN_b03.a2m
FKB10_HUMAN	Q96AY3	FKBP10	FKB10_HUMAN_b03.a2m
FKB14_HUMAN	Q9NWM8	FKBP14	FKB14_HUMAN_b03.a2m
FKRP_HUMAN	Q9H9S5	FKRP	FKRP_HUMAN_b01.a2m
FKTN_HUMAN	O75072	FKTN	FKTN_HUMAN_b01.a2m
FLCN_HUMAN	Q8NFG4	FLCN	FLCN_HUMAN_b03.a2m
FLI1_HUMAN	Q01543	FLI1	FLI1_HUMAN_b03.a2m
FLNA_HUMAN	P21333	FLNA	FLNA_HUMAN_b01.a2m
FLNB_HUMAN	O75369	FLNB	FLNB_HUMAN_b10.a2m
FLNC_HUMAN	Q14315	FLNC	FLNC_HUMAN_b05.a2m
FLRT3_HUMAN	Q9NZU0	FLRT3	FLRT3_HUMAN_b03.a2m
FLVC2_HUMAN	Q9UPI3	FLVCR2	FLVC2_HUMAN_b03.a2m
FMN2_HUMAN	Q9NZ56	FMN2	FMN2_HUMAN_b03.a2m
FMO3_HUMAN	P31513	FMO3	FMO3_HUMAN_b03.a2m
FMR1_HUMAN	Q06787	FMR1	FMR1_HUMAN_b01.a2m
FMT_HUMAN	Q96DP5	MTFMT	FMT_HUMAN_b01.a2m
FOLR1_HUMAN	P15328	FOLR1	FOLR1_HUMAN_b03.a2m
