entry_name	accession	gene_symbol	msa_file
ANDR_HUMAN	P10275	AR	ANDR_HUMAN_b03.a2m
ANF_HUMAN	P01160	NPPA	ANF_HUMAN_b03.a2m
ANGI_HUMAN	P03950	ANG	ANGI_HUMAN_b03.a2m
ANGT_HUMAN	P01019	AGT	ANGT_HUMAN_b03.a2m
ANK1_HUMAN	P16157	ANK1	ANK1_HUMAN_b01.a2m
ANK2_HUMAN	Q01484	ANK2	ANK2_HUMAN_b01.a2m
ANK3_HUMAN	Q12955	ANK3	ANK3_HUMAN_b03.a2m
ANKH_HUMAN	Q9HCJ1	ANKH	ANKH_HUMAN_b01.a2m
ANKL2_HUMAN	Q86XL3	ANKLE2	ANKL2_HUMAN_b03.a2m
ANKR1_HUMAN	Q15327	ANKRD1	ANKR1_HUMAN_b07.a2m
ANLN_HUMAN	Q9NQW6	ANLN	ANLN_HUMAN_b01.a2m
ANM7_HUMAN	Q9NVM4	PRMT7	ANM7_HUMAN_b01.a2m
ANO10_HUMAN	Q9NW15	ANO10	ANO10_HUMAN_b03.a2m
ANO3_HUMAN	Q9BYT9	ANO3	ANO3_HUMAN_b01.a2m
ANO5_HUMAN	Q75V66	ANO5	ANO5_HUMAN_b03.a2m
ANPRB_HUMAN	P20594	NPR2	ANPRB_HUMAN_b03.a2m
ANR11_HUMAN	Q6UB99	ANKRD11	ANR11_HUMAN_b03.a2m
ANT3_HUMAN	P01008	SERPINC1	ANT3_HUMAN_b01.a2m
ANTR1_HUMAN	Q9H6X2	ANTXR1	ANTR1_HUMAN_b01.a2m
ANTR2_HUMAN	P58335	ANTXR2	ANTR2_HUMAN_b03.a2m
AOFA_HUMAN	P21397	MAOA	AOFA_HUMAN_b03.a2m
AP1G2_HUMAN	O75843	AP1G2	AP1G2_HUMAN_b03.a2m
AP2A_HUMAN	P05549	TFAP2A	AP2A_HUMAN_b01.a2m
AP2B_HUMAN	Q92481	TFAP2B	AP2B_HUMAN_b01.a2m
